Stkcd,Accper,Indcd
000688,2017/3/31,B09
000688,2017/6/30,B09
000688,2017/9/30,B09
000690,2017/3/31,D44
000690,2017/6/30,D44
000690,2017/9/30,D44
000690,2017/12/31,D44
000691,2017/3/31,K70
000691,2017/6/30,K70
000691,2017/9/30,K70
000691,2017/12/31,K70
000692,2017/3/31,D44
000692,2017/6/30,D44
000692,2017/9/30,D44
000692,2017/12/31,D44
000695,2017/3/31,D44
000695,2017/6/30,D44
000695,2017/9/30,D44
000697,2017/6/30,B09
000697,2017/9/30,C37
000697,2017/12/31,C37
000698,2017/3/31,C25
000698,2017/6/30,C25
000698,2017/9/30,C25
000698,2017/12/31,C25
000700,2017/3/31,C36
000700,2017/6/30,C36
000700,2017/9/30,C36
000700,2017/12/31,C36
000701,2017/3/31,F51
000701,2017/6/30,F51
000701,2017/9/30,F51
000701,2017/12/31,F51
000702,2017/3/31,C13
000702,2017/6/30,C13
000702,2017/9/30,C13
000702,2017/12/31,C13
000703,2017/3/31,C28
000703,2017/6/30,C28
000703,2017/9/30,C28
000703,2017/12/31,C28
000705,2017/3/31,F51
000705,2017/6/30,F51
000705,2017/9/30,F51
000705,2017/12/31,F51
000707,2017/3/31,C26
000707,2017/6/30,C26
000707,2017/9/30,C26
000707,2017/12/31,C26
000708,2017/3/31,C31
000708,2017/6/30,C31
000708,2017/9/30,C31
000708,2017/12/31,C31
000709,2017/3/31,C31
000709,2017/6/30,C31
000709,2017/9/30,C31
000709,2017/12/31,C31
000710,2017/3/31,C36
000710,2017/6/30,C36
000710,2017/9/30,C36
000710,2017/12/31,M74
000711,2017/3/31,A05
000711,2017/6/30,A05
000711,2017/9/30,A05
000711,2017/12/31,A05
000712,2017/3/31,J67
000712,2017/6/30,J67
000712,2017/9/30,J67
000712,2017/12/31,J67
000713,2017/3/31,A05
000713,2017/6/30,A05
000713,2017/9/30,A05
000713,2017/12/31,A05
000715,2017/3/31,F52
000715,2017/6/30,F52
000715,2017/9/30,F52
000715,2017/12/31,F52
000716,2017/9/30,C14
000716,2017/12/31,C14
000717,2017/3/31,C31
000717,2017/6/30,C31
000717,2017/9/30,C31
000717,2017/12/31,C31
000718,2017/3/31,K70
000718,2017/6/30,K70
000718,2017/9/30,K70
000718,2017/12/31,K70
000719,2017/3/31,R85
000719,2017/6/30,R85
000719,2017/9/30,R85
000719,2017/12/31,R85
000720,2017/3/31,D44
000720,2017/6/30,D44
000720,2017/12/31,D44
000721,2017/3/31,H62
000721,2017/6/30,H62
000721,2017/9/30,H62
000721,2017/12/31,H62
000722,2017/3/31,D44
000722,2017/6/30,D44
000722,2017/9/30,D44
000722,2017/12/31,D44
000723,2017/6/30,C25
000723,2017/9/30,C25
000723,2017/12/31,C25
000725,2017/3/31,C39
000725,2017/6/30,C39
000725,2017/9/30,C39
000725,2017/12/31,C39
000726,2017/3/31,C17
000726,2017/6/30,C17
000726,2017/9/30,C17
000726,2017/12/31,C17
000727,2017/3/31,C39
000727,2017/6/30,C39
000727,2017/9/30,C39
000727,2017/12/31,C39
000728,2017/3/31,J67
000728,2017/6/30,J67
000728,2017/9/30,J67
000728,2017/12/31,J67
000729,2017/3/31,C15
000729,2017/6/30,C15
000729,2017/9/30,C15
000729,2017/12/31,C15
000731,2017/3/31,C26
000731,2017/6/30,C26
000731,2017/9/30,C26
000731,2017/12/31,C26
000732,2017/3/31,K70
000732,2017/6/30,K70
000732,2017/9/30,K70
000732,2017/12/31,K70
000733,2017/3/31,C39
000733,2017/6/30,C39
000733,2017/9/30,C39
000733,2017/12/31,C39
000735,2017/3/31,A03
000735,2017/6/30,A03
000735,2017/9/30,A03
000735,2017/12/31,A03
000736,2017/3/31,K70
000736,2017/6/30,K70
000736,2017/9/30,K70
000736,2017/12/31,K70
000737,2017/3/31,C26
000737,2017/6/30,C26
000737,2017/9/30,C26
000737,2017/12/31,C26
000738,2017/3/31,C37
000738,2017/6/30,C37
000738,2017/9/30,C37
000738,2017/12/31,C37
000739,2017/3/31,C27
000739,2017/6/30,C27
000739,2017/9/30,C27
000739,2017/12/31,C27
000750,2017/3/31,J67
000750,2017/6/30,J67
000750,2017/9/30,J67
000750,2017/12/31,J67
000751,2017/3/31,C32
000751,2017/6/30,C32
000751,2017/9/30,C32
000751,2017/12/31,C32
000752,2017/3/31,C15
000752,2017/6/30,C15
000752,2017/9/30,C15
000752,2017/12/31,C15
000753,2017/3/31,F52
000753,2017/6/30,F52
000753,2017/9/30,F52
000753,2017/12/31,F52
000755,2017/3/31,C26
