Stkcd,Ddate,Meps
證券代碼,報告期間,每股收益
沒有單位,沒有單位,元
002646,2019-12-31,0.0803
002647,2019-12-31,0.05
002648,2019-12-31,1.2
002649,2019-12-31,0.469
002650,2019-12-31,0.14
002651,2019-12-31,0.18
002653,2019-12-31,0.46
002654,2019-12-31,0.0745
002655,2019-12-31,0.09
002656,2019-12-31,-2.06
002657,2019-12-31,-0.83
002658,2019-12-31,0.23
002659,2019-12-31,0.08
002661,2019-12-31,0.632
002662,2019-12-31,-1.39
002663,2019-12-31,-0.58
002664,2019-12-31,0.77
002665,2019-12-31,0.0293
002666,2019-12-31,0.29
002668,2019-12-31,0.05
002669,2019-12-31,0.56
002670,2019-12-31,0.0492
002671,2019-12-31,0.02
002672,2019-12-31,0.48
002673,2019-12-31,0.1742
002674,2019-12-31,0.3907
002675,2019-12-31,0.1929
002677,2019-12-31,0.71
002678,2019-12-31,0.14
002681,2019-12-31,-1.49
002682,2019-12-31,0.22
002683,2019-12-31,0.4339
002684,2019-12-31,0.27
002685,2019-12-31,0.3543
002686,2019-12-31,-1.0129
002687,2019-12-31,0.41
002688,2019-12-31,0.29
002689,2019-12-31,-0.1027
002690,2019-12-31,0.8056
002694,2019-12-31,0.02
002695,2019-12-31,0.429
002696,2019-12-31,-0.7227
002697,2019-12-31,0.38
002698,2019-12-31,0.3003
002699,2019-12-31,0.04
002701,2019-12-31,0.29
002705,2019-12-31,0.8575
002706,2019-12-31,0.35
002707,2019-12-31,0.078
002709,2019-12-31,0.03
002712,2019-12-31,0.0822
002713,2019-12-31,-0.6
002714,2019-12-31,2.82
002716,2019-12-31,-4.53
002717,2019-12-31,0.21
002718,2019-12-31,0.73
002721,2019-12-31,0.07
002724,2019-12-31,0.3574
002726,2019-12-31,0.24
002727,2019-12-31,1.0637
002730,2019-12-31,0.13
002732,2019-12-31,0.79
002733,2019-12-31,0.49
002734,2019-12-31,1.18
002735,2019-12-31,0.39
002736,2019-12-31,0.56
002737,2019-12-31,0.97
002738,2019-12-31,0.5206
