嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-08-07,000927,1,1946,1,1,0,1.59,1.5,14,71,C36,,
2017-12-29,000929,1,40576,76,0,7,1.81,0,8,140,C15,,
2017-04-06,000929,1,10467,23,21,14,0.12,2,29,84,C15,,
2017-05-11,000929,1,5176,3,3,5,0.21,2,29,84,C15,,
2017-08-18,000931,1,2896,1,0,0,3.07,3,2993,309,S90,,
2017-12-27,000935,1,2671,3,0,1,4.54,2.5,558,335,C30,,
2017-12-25,000935,1,26441,1,1,6,4.75,4,1774,0,C30,,
2017-12-20,000935,1,107947,59,59,2,4.73,4,1774,0,C30,,
2017-12-13,000935,4,22060,10.25,3.75,3.25,4.72,4,1774,0,C30,,
2017-12-14,000935,1,9465,8,6,2,1.25,1.5,92,384,C30,,
2017-12-06,000935,2,169424.5,104.5,5,27,2.47,2.75,887.5,4,C30,,
2017-07-16,000935,1,17544,18,0,13,0.38,2,34,373,C30,,
2017-10-31,000935,1,22834,23,6,5,0.59,0,744,318,C30,,
2017-07-21,000935,1,80656,47,0,24,2.05,2.5,1024,347,C30,,
2017-11-24,000935,1,5527,2,0,1,2.87,3.5,679,301,C30,,
2017-12-09,000935,1,59318,31,20,12,5.68,2.5,177,366,C30,,
2017-09-12,000935,1,543,1,1,0,0,1.5,10,8,C30,,
2017-11-07,000935,1,3272,2,1,0,1.18,2.5,656,347,C30,,
2017-07-20,000935,1,24077,43,10,10,0.3,2.5,751,350,C30,,
2017-09-11,000935,1,1867,1,1,3,0.32,2.5,176,0,C30,,
2017-09-10,000935,1,161138,67,67,27,4.46,4,1774,0,C30,,
2017-07-02,000935,2,2672.5,5,5,1,0,0,16,10,C30,,
2017-08-17,000935,1,88887,55,55,13,4.39,4,1804,0,C30,,
2017-09-19,000935,1,1192,1,1,1,0.02,1.5,10,8,C30,,
2017-06-16,000935,1,8493,9,0,5,0.79,2.5,655,338,C30,,
2017-02-06,000935,1,288682,127,94,40,3.87,4,1774,0,C30,,
2017-06-15,000935,1,3030,6,0,1,0.78,2.5,656,338,C30,,
2017-06-09,000935,1,4355,5,3,1,0.77,2.5,656,347,C30,,
2017-03-24,000935,1,26287,30,9,9,0.56,2.5,655,338,C30,,
2017-06-23,000935,1,7638,0,0,0,0.62,2,112,136,C30,,
2017-06-01,000935,1,2708,3,0,2,0.75,2.5,656,338,C30,,
2017-03-27,000935,2,56104.5,96.5,79.5,85,0.56,2.5,656,338,C30,,
2017-05-06,000935,1,96062,110,105,56,0.74,2,21,226,C30,,
2017-01-17,000935,1,306193,115,88,34,3.81,4,1774,0,C30,,
2017-06-08,000935,1,38995,9,9,7,4.2,4,1774,0,C30,,
2017-06-11,000935,1,11281,24,11,2,0.77,2.5,656,338,C30,,
2017-08-25,000948,1,25551,20,14,10,4.7,2.5,794,384,I65,,
2017-11-07,000948,1,36500,95,18,11,1.55,3,99,304,I65,,
2017-10-27,000948,1,8254,22,12,2,1.52,3,99,313,I65,,
2017-05-24,000948,1,18020,43,6,0,3.21,4,1125,335,I65,,
2017-04-19,000953,1,7585,1,1,4,4.06,3.5,1224,0,C26,,
2017-11-29,000953,1,13694,11,8,1,0,1,19,4,C26,,
2017-12-21,000953,1,11855,20,11,2,10.76,3.5,2251,388,C26,,
2017-12-12,000953,1,13742,20,7,2,10.74,3.5,2313,350,C26,,
2017-01-28,000953,1,40888,11,11,5,1.77,4,199,16,C26,,
2017-01-01,000953,1,162574,45,20,19,0.96,3.5,225,396,C26,,
2017-04-18,000955,1,20803,7,7,2,4.06,3.5,1728,0,C17,,
2017-12-29,000972,1,26691,11,4,0,5.55,3.5,1233,372,C13,,
2017-03-05,000973,1,69144,154,28,40,0,3,128,369,C29,,
2017-03-09,000973,1,1794,2,2,2,1.87,1.5,7,200,C29,,
2017-07-05,000973,1,28323,16,16,7,0.13,2,185,0,C29,,
2017-07-10,000973,1,27653,19,19,8,0.14,2,185,0,C29,,
2017-09-13,000973,1,31789,26,26,5,0.32,2,185,0,C29,,
2017-09-18,000973,1,40292,39,39,27,2.23,1,15,15,C29,,
2017-11-12,000973,1,22960,30,19,7,0.53,2,11,327,C29,,
2017-12-12,000982,2,2977.5,5.5,4,1.5,2.17,2.75,1530.5,329,C17,,
2017-12-27,000982,1,1330,2,0,0,1.99,3.5,719,363,C17,,
2017-06-27,000982,1,1124,0,0,0,2.4,1,3,11,C17,,
2017-06-30,000982,1,1111,0,0,1,2.41,1,3,11,C17,,
2017-07-03,000982,1,38043,36,36,25,3.87,3.5,184,308,C17,,
2017-03-24,000982,1,16824,36,26,2,2.76,3,200,312,C17,,
