Stkcd,Accper,Typrep,Indcd
002382,2020-12-31,A,C35
002383,2020-12-31,A,C39
002384,2020-12-31,A,C39
002385,2020-12-31,A,C13
002386,2020-12-31,A,C26
002387,2020-12-31,A,C39
002388,2020-12-31,A,C39
002389,2020-12-31,A,C39
002390,2020-12-31,A,C27
002391,2020-12-31,A,C26
002392,2020-12-31,A,C30
002393,2020-12-31,A,C27
002394,2020-12-31,A,C17
002395,2020-12-31,A,C29
002396,2020-12-31,A,C39
002397,2020-12-31,A,C17
002398,2020-12-31,A,C26
002399,2020-12-31,A,C27
002400,2020-12-31,A,L72
002401,2020-12-31,A,I65
002402,2020-12-31,A,C39
002403,2020-12-31,A,C33
002404,2020-12-31,A,C18
002405,2020-12-31,A,I65
002406,2020-12-31,A,C36
002407,2020-12-31,A,C26
002408,2020-12-31,A,C26
002409,2020-12-31,A,C26
002410,2020-12-31,A,I65
002411,2020-12-31,A,C27
002412,2020-12-31,A,C27
002413,2020-12-31,A,C39
002414,2020-12-31,A,C39
002415,2020-12-31,A,C39
002416,2020-12-31,A,F51
002417,2020-12-31,A,I65
002418,2020-12-31,A,C34
002419,2020-12-31,A,F52
002420,2020-12-31,A,C29
002421,2020-12-31,A,I65
002422,2020-12-31,A,C27
002423,2020-12-31,A,J69
002424,2020-12-31,A,C27
002425,2020-12-31,A,I64
002426,2020-12-31,A,C39
002427,2020-12-31,A,C28
002428,2020-12-31,A,C32
002429,2020-12-31,A,C39
002430,2020-12-31,A,C35
002431,2020-12-31,A,E48
002432,2020-12-31,A,C35
002433,2020-12-31,A,C27
002434,2020-12-31,A,C36
002435,2020-12-31,A,C27
002436,2020-12-31,A,C39
002437,2020-12-31,A,C27
002438,2020-12-31,A,C34
002439,2020-12-31,A,I64
002440,2020-12-31,A,C26
002441,2020-12-31,A,F51
002442,2020-12-31,A,C26
002443,2020-12-31,A,C33
002444,2020-12-31,A,C33
002445,2020-12-31,A,R86
002446,2020-12-31,A,C39
002447,2020-12-31,A,I64
002448,2020-12-31,A,C36
002449,2020-12-31,A,C39
002450,2020-12-31,A,C29
002451,2020-12-31,A,C38
002452,2020-12-31,A,C38
002453,2020-12-31,A,I65
002454,2020-12-31,A,C36
002455,2020-12-31,A,C26
002456,2020-12-31,A,C39
002457,2020-12-31,A,C30
002458,2020-12-31,A,A03
002459,2020-12-31,A,C38
002460,2020-12-31,A,C32
002461,2020-12-31,A,C15
002462,2020-12-31,A,F51
002463,2020-12-31,A,C39
002464,2020-12-31,A,I64
002465,2020-12-31,A,C39
002466,2020-12-31,A,C32
002467,2020-12-31,A,I64
002468,2020-12-31,A,G60
002469,2020-12-31,A,E48
002470,2020-12-31,A,C26
002471,2020-12-31,A,C38
002472,2020-12-31,A,C34
002473,2020-12-31,A,C38
